,end,start,text,season,episode,norm_text
0,12.41,10.377,(exclaiming),26,01,exclaiming
1,18.783,16.617,(school bell ringing),26,01,school bell ringing
2,22.387,21.321,(barney belches),26,01,barney belches
3,24.356,22.389,(whistle blows),26,01,whistle blows
4,26.591,24.358,(yells),26,01,yells
5,32.03,30.531,(beeping),26,01,beeping
6,41.473,39.239,(playing the harp),26,01,playing the harp
7,45.377,43.877,(tires screeching),26,01,tires screeching
8,48.013,46.713,D'oh!,26,01,doh
9,49.147,48.015,(tires screeching),26,01,tires screeching
10,50.949,49.149,(grunts),26,01,grunts
11,56.555,53.554,(electric humming),26,01,electric humming
12,64.074,58.0,"Advertise your product or brand here
contact www.OpenSubtitles.org today",26,01,advertise your product or brand here contact wwwopensubtitlesorg today
13,72.337,69.57,(shouting),26,01,shouting
14,80.512,77.344,D'oh. D'oh. D'oh. D'oh. D'oh.,26,01,doh doh doh doh doh
15,82.08,80.514,Family.,26,01,family
16,84.382,82.082,Meet me at...,26,01,meet me at
17,86.585,84.384,The kitchen cube.,26,01,the kitchen cube
18,87.852,86.587,D'oh. D'oh.,26,01,doh doh
19,90.188,87.854,"D'oh. D'oh. D'oh.
(electric crackling)",26,01,doh doh doh electric crackling
20,92.023,90.19,"(growling voice):
I am simpson.",26,01,growling voice i am simpson
21,94.893,92.025,"I am simpson.
I am simpson.",26,01,i am simpson i am simpson
22,96.595,94.895,(gurgling),26,01,gurgling
23,99.764,96.597,"(distorted)
don't... Don't
have cow, man.",26,01,distorted dont dont have cow man
24,103.268,99.766,"I am simpson.
I am simpson.
Don't... Don't have cow, man.",26,01,i am simpson i am simpson dont dont have cow man
25,107.872,103.27,"Don't... Don't have cow, man.
I am simpson.
I am simpson.",26,01,dont dont have cow man i am simpson i am simpson
26,112.043,107.874,"(distorted):
Hail the dark lord
of the twin moons.",26,01,distorted hail the dark lord of the twin moons
27,115.614,112.045,"I am simpson.
I am simpson.
Don't have cow, man.",26,01,i am simpson i am simpson dont have cow man
28,117.115,115.616,"(gurgling)
(growls) simpson.",26,01,gurgling growls simpson
29,120.285,117.117,"Cow, man.
I am simpson.
I am simpson.",26,01,cow man i am simpson i am simpson
30,121.82,120.287,(babbling),26,01,babbling
31,123.488,121.822,(squishing),26,01,squishing
32,126.491,123.49,"(low voice):
Make purchase
of the merchandise.",26,01,low voice make purchase of the merchandise
33,128.66,126.493,"D'oh.
Don't have
cow, man.",26,01,doh dont have cow man
34,131.096,128.662,I have... Memories.,26,01,i have memories
35,134.232,131.098,"(high-pitched tone)
<i>i have.... Memor... Memor...</i>",26,01,highpitched tone ii have memor memori
36,136.968,134.234,"(grinding, beeping)",26,01,grinding beeping
37,139.07,136.97,(gentle piano playing),26,01,gentle piano playing
38,142.007,139.072,"(high-pitched):
Still love you, homar.",26,01,highpitched still love you homar
39,146.044,142.009,"(high-pitched, distorted):
We are happy family.",26,01,highpitched distorted we are happy family
40,154.319,151.852,All animals can scream.,26,01,all animals can scream
41,156.521,154.321,"(low growling)
make purchase of
the merchandise.",26,01,low growling make purchase of the merchandise
42,159.991,156.523,"I am simpson. I am simpson.
Don't have cow, man.",26,01,i am simpson i am simpson dont have cow man
43,162.227,159.993,D'oh.,26,01,doh
44,172.103,170.937,"Three feet, nine inches.",26,01,three feet nine inches
45,173.838,172.105,"That should do it.
Don't you know",26,01,that should do it dont you know
46,176.074,173.84,"What kind of animal
we're dealing with?",26,01,what kind of animal were dealing with
47,178.309,177.044,"Okay, enough theory.",26,01,okay enough theory
48,180.111,178.311,"Hey, dad.
We made popcorn.",26,01,hey dad we made popcorn
49,181.613,180.113,"Homer:
Woo-hoo!",26,01,homer woohoo
50,184.015,182.382,Huh? Out of my reach?,26,01,huh out of my reach
51,187.952,184.017,"(grunts)
must... Make... Effort.",26,01,grunts must make effort
52,192.757,191.358,(grunting),26,01,grunting
53,195.727,194.728,(bones crack),26,01,bones crack
54,197.796,195.729,Yay.,26,01,yay
55,200.165,197.798,"Mr. Simpson,
you earned this.",26,01,mr simpson you earned this
56,202.967,200.167,(quiet grunts),26,01,quiet grunts
57,204.469,202.969,What's on tv?,26,01,whats on tv
58,206.604,204.471,"Krusty's getting
roasted tonight.",26,01,krustys getting roasted tonight
59,217.882,216.483,Hey.,26,01,hey
60,219.884,217.884,"(grumbles)
sometimes the language",26,01,grumbles sometimes the language
61,223.088,219.886,"On these gets a
little b-l-u-e.",26,01,on these gets a little blue
62,224.255,223.09,What?,26,01,what
63,225.924,224.257,Oh.,26,01,oh
64,228.026,225.926,"If you don't let us watch,
we'll just go to a house",26,01,if you dont let us watch well just go to a house
65,229.894,228.028,"Where some more
permissive parents will.",26,01,where some more permissive parents will
66,231.229,229.896,How permissive?,26,01,how permissive
67,233.698,231.231,"Chief wiggum shows us
crime photos at sleepovers.",26,01,chief wiggum shows us crime photos at sleepovers
68,235.667,233.7,"So this is what a body
looks like",26,01,so this is what a body looks like
69,238.67,235.669,"After it drops
60 stories.",26,01,after it drops 60 stories
70,240.872,238.672,"Uh, come on, milhouse,
don't pretend you're asleep.",26,01,uh come on milhouse dont pretend youre asleep
71,242.44,240.874,This is the world we live in.,26,01,this is the world we live in
72,243.675,242.442,Yeah.,26,01,yeah
73,245.076,243.677,(crowd laughs over tv),26,01,crowd laughs over tv
74,248.046,245.078,"Hey, krusty, our local deli
just named a sandwich after you.",26,01,hey krusty our local deli just named a sandwich after you
75,250.615,248.048,"It's called
""the unfunny comedian.""",26,01,its called the unfunny comedian
76,251.583,250.617,(crowd laughs),26,01,crowd laughs
77,252.584,251.585,"You will always be
remembered for",26,01,you will always be remembered for
78,254.119,252.586,"Your countless
appearances on",26,01,your countless appearances on
79,255.453,254.121,The<i> krusty the clown show</i>,26,01,thei krusty the clown showi
80,257.856,255.455,"And your one appearance
on<i> to catch a predator.</i>",26,01,and your one appearance oni to catch a predatori
81,259.357,257.858,(crowd laughs),26,01,crowd laughs
82,262.093,259.359,"Hey, i spent a lifetime
making people happy.",26,01,hey i spent a lifetime making people happy
83,265.063,262.095,"Yeah-- plastic surgeons
and divorce lawyers.",26,01,yeah plastic surgeons and divorce lawyers
84,266.865,265.065,I was just about to say that.,26,01,i was just about to say that
85,269.3,266.867,"Oh, he took my laugh.",26,01,oh he took my laugh
86,271.069,269.302,"Screw it, i'm doing it anyway.",26,01,screw it im doing it anyway
87,274.906,271.071,"Plastic surgeons
and divorce lawyers.",26,01,plastic surgeons and divorce lawyers
88,276.641,274.908,(man coughs),26,01,man coughs
89,278.81,276.643,"What a legend. Krusty
the clown is to comedy",26,01,what a legend krusty the clown is to comedy
90,281.78,278.812,"What martin luther king
is to comedy.",26,01,what martin luther king is to comedy
91,283.114,281.782,(laughter),26,01,laughter
92,287.619,285.152,"We've seen a lot
of top-flight comics tonight,",26,01,weve seen a lot of topflight comics tonight
93,289.654,287.621,"But that's over,
because it's time",26,01,but thats over because its time
94,291.79,289.656,To hear from krusty the clown.,26,01,to hear from krusty the clown
95,292.991,291.792,"Welcome, krusty.",26,01,welcome krusty
96,294.626,292.993,I grew up watching you.,26,01,i grew up watching you
97,295.994,294.628,"Oh, uh, sorry.",26,01,oh uh sorry
98,297.962,295.996,I threw up watching you.,26,01,i threw up watching you
99,299.297,297.964,"(laughter, applause)",26,01,laughter applause
100,300.632,299.299,(grumbles),26,01,grumbles
101,302.0,300.634,Sarah silverman.,26,01,sarah silverman
102,305.236,302.002,"I say this with love,
you disrespectful skank.",26,01,i say this with love you disrespectful skank
103,307.839,305.238,You've had more... Oh.,26,01,youve had more oh
104,310.141,307.841,"Suddenly, i don't
feel like doing this.",26,01,suddenly i dont feel like doing this
105,311.376,310.143,(gasps),26,01,gasps
106,314.979,312.345,"Sorry, mini-ha-ha.
Canceling the bit.",26,01,sorry minihaha canceling the bit
107,317.415,314.981,Tell the others.,26,01,tell the others
108,321.82,318.652,"I thought this night would be
fun for me and my friends.",26,01,i thought this night would be fun for me and my friends
109,323.721,321.822,I don't even know these people.,26,01,i dont even know these people
110,326.858,324.791,"And i guess i don't
have any friends.",26,01,and i guess i dont have any friends
111,329.027,326.86,"My only comfort
is the roast is over",26,01,my only comfort is the roast is over
112,330.962,329.029,"And will only be shown
four times a day",26,01,and will only be shown four times a day
113,333.832,330.964,For the rest of all time.,26,01,for the rest of all time
114,336.267,334.935,Krusty.,26,01,krusty
115,337.869,336.269,"Yeah?
Is your nose red",26,01,yeah is your nose red
116,340.004,337.871,"Because it's embarrassed
to be seen with you?",26,01,because its embarrassed to be seen with you
117,341.439,340.006,"(laughter)
oh, nobody warned me",26,01,laughter oh nobody warned me
118,343.508,341.441,"This roast would treat me
the same way",26,01,this roast would treat me the same way
119,346.878,343.51,"As every roast i've seen
and laughed at.",26,01,as every roast ive seen and laughed at
